scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
1,Active Inference,3,8965.000,26193425.216,79.5222,234,364
1,Active Inference,4,8726.000,26375820.892,83.5664,241,364
1,Active Inference,5,7804.000,26224416.545,81.8182,236,364
1,Active Inference,6,11541.000,26946549.961,78.3051,229,363
1,Active Inference,7,10894.000,26873982.027,80.9028,226,363
1,Active Inference,8,9996.000,26614800.656,80.0664,228,365
1,Active Inference,9,10165.000,26238119.042,80.8725,229,365
1,Active Inference,10,10996.000,26911400.763,82.3529,227,363
1,Active Inference,11,9423.000,26496681.990,81.9728,228,363
1,Active Inference,12,11601.000,26626921.724,80.6780,225,365
1,Active Inference,13,11895.000,27227991.593,78.8591,226,364
1,Active Inference,14,10984.000,26927433.086,82.1918,220,364
1,Active Inference,15,9971.000,26636281.308,81.5972,227,363
1,Active Inference,16,8065.000,26285809.366,79.0378,238,363
1,Active Inference,17,11505.000,26883246.556,80.1370,234,364
1,Active Inference,18,9298.000,26531594.201,80.0000,232,363
1,Active Inference,19,10583.000,26862683.999,82.4138,235,364
1,Active Inference,20,8656.000,26560637.601,78.4053,241,363
1,Active Inference,21,8550.000,26007906.454,80.3448,240,363
1,Active Inference,22,8890.000,26501454.074,80.0000,238,364
1,Active Inference,23,10536.000,27018508.575,80.0000,222,363
1,Active Inference,24,8480.000,26706340.365,81.6327,236,363
1,Active Inference,25,10919.000,27144416.920,81.0811,219,363
1,Active Inference,26,9896.000,27009762.141,80.8725,238,365
1,Active Inference,27,10196.000,26721598.457,75.6667,228,364
1,Active Inference,28,9751.000,26535712.555,84.6154,228,364
1,Active Inference,29,9598.000,26618019.545,80.0676,235,364
1,Active Inference,30,12277.000,27305817.318,80.1347,224,363
1,Active Inference,31,9137.000,26827755.237,81.2500,222,363
1,Active Inference,32,11258.000,26824858.246,82.0690,238,363
1,Active Inference,33,12009.000,26922064.364,80.9524,216,366
1,Active Inference,34,11432.000,27107368.959,81.1644,223,363
1,Active Inference,35,12081.000,26941479.710,81.6327,223,364
1,Active Inference,36,9706.000,26662510.464,83.3333,234,364
1,Active Inference,37,10739.000,26831555.861,80.2721,215,363
1,Active Inference,38,10214.000,26470315.500,80.1370,236,364
1,Active Inference,39,10442.000,26444173.462,78.0069,221,365
1,Active Inference,40,9549.000,26420931.244,82.5784,236,363
1,Active Inference,41,9902.000,26511915.252,80.4795,237,364
1,Active Inference,42,10305.000,26878758.047,79.7297,237,364
1,Active Inference,43,9421.000,26617245.390,83.8488,238,364
