scenario,controller,cum_idle_mean,cum_idle_std,cum_idle_cv,cum_co2_M_mean,cum_co2_M_std,cum_co2_M_cv,bus_pct_mean,bus_pct_std,bus_pct_cv,switches_mean,switches_std,switches_cv
1,Rule-Based,14172.4,601.0415034661823,0.042409295776733816,27.590793852420003,0.22536814903959687,0.008168237211479499,88.91081999999999,0.8567714378804162,0.009636301159751044,133.84,2.186829262247563,0.016339130769930984
1,DQN,11050.28,683.9832250291026,0.06189736595173177,27.15880998939,0.2540506586822165,0.009354263267848084,90.55767699999998,0.9162590983582328,0.010117961598752506,198.08,5.467405715010114,0.027602007850414546
1,Active Inference,10081.26,1203.065559226919,0.11933682488368706,26.65511895298,0.3059916205152927,0.011479656911494792,80.65269799999999,1.7482983727607762,0.021676874005638055,231.02,8.316929309024642,0.03600090602123038
2,Rule-Based,14399.67,734.7863024050056,0.051027995947476965,27.725409817210004,0.25408847980487054,0.00916446254464921,88.22334799999999,1.2091746151801068,0.013705834595849922,134.26,2.627054270740165,0.019566916957695257
2,DQN,10967.29,778.3137080778021,0.07096682116345988,27.086193782720002,0.24658159984982975,0.009103589888924879,90.517509,0.9521469636685466,0.010518925832001702,197.74,5.8441371813073815,0.029554653490985038
2,Active Inference,10202.38,1357.7433132394594,0.13308103729124574,26.64287422631,0.32165602552855577,0.012072872573594875,80.92980200000001,2.043687305638582,0.025252592433607852,232.16,8.82343069859617,0.03800581796431844
3,Rule-Based,14519.78,796.084059568454,0.054827556586150336,27.74485874755,0.24485346467712651,0.008825183321531533,88.192323,1.109929911596933,0.012585334798324034,134.18,2.7902427395218763,0.020794773733208198
3,DQN,11267.61,636.8346104846305,0.05651904977937917,27.080043508130004,0.22400909218415196,0.008272109759236528,90.52728299999998,0.8628182997566461,0.009531030548620865,196.14,4.990941288924861,0.02544581058899185
3,Active Inference,10278.77,1306.3516538571664,0.12709221568895562,26.68473873708,0.326563491441505,0.012237837314394462,80.699485,1.8330823982744577,0.022714920650044518,231.99,8.327264456790918,0.03589492847446406
4,Rule-Based,72247.39,22398.251723304325,0.3100216038711478,31.53009909934,0.9612559825766639,0.030486931853531195,86.93445699999998,1.2599398389721996,0.014492985663581011,126.2,3.0117614564747774,0.023864987769213766
4,DQN,66211.42,24326.01120436204,0.3673990257928623,30.76393033106,1.0141925597104546,0.03296693721499238,88.29874799999999,1.0818445266742125,0.01225209361602967,173.56,5.4240765168465375,0.031251881290888094
4,Active Inference,61874.74,21626.07182916028,0.34951374065022783,29.51131925614001,0.9396839180156782,0.0318414744478145,81.59092,1.8579674258596561,0.022771742564732158,232.23,8.967793102615222,0.038615997513737337
