scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
1,Active Inference,1,10.0,24203.185307781365,8852.95943127309,5,4,5,4,1,0,2,0.0,0.0
1,Active Inference,1,20.0,38920.746702773424,0.0,6,2,6,2,1,0,2,0.0,0.0
1,Active Inference,1,30.0,29008.798508438605,0.0,6,0,6,0,1,0,2,37.0,0.0
1,Active Inference,1,40.0,23165.555555555555,0.0,6,0,6,0,1,0,2,91.0,0.0
1,Active Inference,1,50.0,23165.555555555555,7057.825597938172,6,2,6,2,1,0,0,151.0,0.0
1,Active Inference,1,60.0,0.0,14386.591616917794,0,3,0,3,0,0,0,0.0,0.0
1,Active Inference,1,70.0,3204.182419692807,57123.02076959508,1,6,1,5,0,0,2,0.0,2.0
1,Active Inference,1,80.0,0.0,37750.04979846031,1,4,1,4,0,0,0,0.0,0.0
1,Active Inference,1,90.0,0.0,12629.863947084315,0,4,0,4,0,0,2,0.0,16.0
1,Active Inference,1,100.0,0.0,12160.15749092829,0,2,0,2,0,0,0,0.0,0.0
1,Active Inference,1,110.0,6068.4561019800185,5064.627445161014,2,2,2,2,0,0,2,0.0,0.0
1,Active Inference,1,120.0,3024.1295070615956,6982.628528141793,3,2,3,2,0,0,0,0.0,0.0
1,Active Inference,1,130.0,0.0,1583.9563507614082,1,2,1,2,0,0,2,0.0,0.0
1,Active Inference,1,140.0,18518.13261578067,5249.444444444444,2,2,2,2,0,0,0,1.0,0.0
1,Active Inference,1,150.0,17674.362215656744,7088.567744416487,1,2,1,2,0,0,2,0.0,0.0
1,Active Inference,1,160.0,7270.856157619504,0.0,1,0,1,0,0,0,0,1.0,0.0
1,Active Inference,1,170.0,0.0,9006.017886186062,0,1,0,1,0,0,2,0.0,0.0
1,Active Inference,1,180.0,9373.179398847884,44335.116751765876,1,3,1,3,0,0,0,0.0,0.0
1,Active Inference,1,190.0,1578.5204798018437,46073.54321202862,1,6,1,6,0,1,2,0.0,0.0
1,Active Inference,1,200.0,12741.649365079082,11340.44466586573,3,3,3,3,0,1,2,8.0,0.0
1,Active Inference,1,210.0,2624.722222222222,38442.79130999445,3,2,2,2,0,1,0,18.0,0.0
1,Active Inference,1,220.0,10559.240903686683,27723.950165715687,1,2,1,2,1,1,2,0.0,0.0
1,Active Inference,1,230.0,7119.943045790437,27030.661309544183,2,4,2,4,1,0,0,0.0,0.0
1,Active Inference,1,240.0,0.0,12504.760628819018,1,5,1,5,0,1,2,0.0,0.0
1,Active Inference,1,250.0,2624.291906232304,26819.644793922263,1,1,1,1,0,1,0,3.0,0.0
1,Active Inference,1,260.0,0.0,0.0,0,1,0,1,0,1,2,0.0,0.0
1,Active Inference,1,270.0,0.0,11316.68960207615,0,2,0,2,0,0,0,0.0,0.0
1,Active Inference,1,280.0,10880.393933594718,18433.215575483126,3,4,3,4,0,0,2,0.0,0.0
1,Active Inference,1,290.0,3586.406409414507,27571.020152989662,3,3,3,3,0,1,0,0.0,0.0
1,Active Inference,1,300.0,10956.273637213957,19946.706238947634,2,3,2,3,0,1,2,0.0,6.0
1,Active Inference,1,310.0,39316.888891272174,14814.957244846802,3,2,3,2,0,0,2,6.0,0.0
1,Active Inference,1,320.0,44580.059807597834,1370.722249539181,3,2,3,2,0,0,0,16.0,0.0
1,Active Inference,1,330.0,24049.454129894162,20669.334502740807,3,4,3,4,1,0,0,0.0,11.0
1,Active Inference,1,340.0,33425.68794111416,7443.280691841879,2,4,2,4,1,0,0,0.0,31.0
1,Active Inference,1,350.0,8292.432389345244,16744.74999626655,1,6,1,6,1,0,0,0.0,62.0
1,Active Inference,1,360.0,0.0,43704.27009061526,0,8,0,8,0,0,2,0.0,102.0
1,Active Inference,1,370.0,18833.00838208075,43165.90414539883,3,3,3,3,1,1,0,0.0,0.0
1,Active Inference,1,380.0,15261.935760074677,71797.97471458724,2,8,2,8,1,2,2,0.0,5.0
1,Active Inference,1,390.0,5194.2838526961905,32775.31504630116,2,5,2,5,1,2,2,1.0,0.0
1,Active Inference,1,400.0,7910.833333333334,0.0,2,0,2,0,1,0,0,20.0,0.0
1,Active Inference,1,410.0,0.0,0.0,0,0,0,0,0,0,2,0.0,0.0
1,Active Inference,1,420.0,5344.40205627424,42062.32354026801,1,5,1,5,0,1,2,0.0,0.0
1,Active Inference,1,430.0,4057.8949242391177,23481.60650778727,1,5,1,5,0,1,2,0.0,0.0
1,Active Inference,1,440.0,32212.407974460824,0.0,4,0,4,0,1,0,2,5.0,0.0
1,Active Inference,1,450.0,49524.36739846147,16176.016015658963,5,3,5,3,2,0,0,15.0,0.0
1,Active Inference,1,460.0,29465.625980811834,28580.175395506623,2,3,2,3,1,0,0,0.0,0.0
1,Active Inference,1,470.0,28347.25286216606,15034.558756617527,3,5,3,5,0,0,0,0.0,1.0
1,Active Inference,1,480.0,15443.451996034015,15240.644805004771,1,5,1,5,0,0,0,0.0,30.0
1,Active Inference,1,490.0,0.0,44104.13328736755,0,8,0,8,0,0,2,0.0,76.0
1,Active Inference,1,500.0,0.0,43329.18765258462,0,4,0,4,0,0,0,0.0,0.0
1,Active Inference,1,510.0,13510.162736341306,51095.76454426908,4,6,4,6,0,0,2,0.0,10.0
1,Active Inference,1,520.0,3828.621711935376,48003.57299877248,4,6,4,6,0,1,0,0.0,0.0
1,Active Inference,1,530.0,0.0,16655.328447919022,0,6,0,6,0,1,2,0.0,25.0
1,Active Inference,1,540.0,0.0,10572.222222222223,0,2,0,2,0,2,2,0.0,0.0
1,Active Inference,1,550.0,9390.887275216422,74965.01331793878,1,6,1,4,0,2,2,0.0,0.0
1,Active Inference,1,560.0,2814.673133969563,23975.55958289302,1,6,1,6,0,2,2,0.0,0.0
1,Active Inference,1,570.0,2624.722222222222,0.0,1,0,1,0,0,0,0,7.0,0.0
1,Active Inference,1,580.0,24306.21127471659,0.0,3,0,3,0,1,0,2,0.0,0.0
1,Active Inference,1,590.0,23304.218646680125,18190.066557771133,4,4,4,4,1,0,0,0.0,0.0
1,Active Inference,1,600.0,5048.690767213838,2531.8360941873802,1,4,1,4,0,0,2,0.0,0.0
1,Active Inference,1,610.0,2624.722222222222,0.0,1,0,1,0,0,0,0,9.0,0.0
1,Active Inference,1,620.0,21181.063035022395,43997.06372793808,1,4,1,4,1,2,2,0.0,0.0
1,Active Inference,1,630.0,18148.97642746536,38322.65656471808,2,6,2,6,1,3,0,0.0,0.0
1,Active Inference,1,640.0,7491.991686001007,19665.93988547274,3,6,3,6,0,3,2,0.0,12.0
1,Active Inference,1,650.0,11175.793650449094,24624.943321343722,3,3,3,3,0,0,0,9.0,0.0
1,Active Inference,1,660.0,22500.87628754868,7265.244723678796,2,5,2,4,0,0,2,0.0,0.0
1,Active Inference,1,670.0,9026.67667615007,24306.44135904566,2,3,2,3,0,1,0,0.0,0.0
1,Active Inference,1,680.0,14220.501363493207,21885.647345474386,1,5,1,5,1,1,2,0.0,3.0
1,Active Inference,1,690.0,14151.29143789331,0.0,2,0,2,0,2,0,0,0.0,0.0
1,Active Inference,1,700.0,39139.070238005734,18053.162298934316,2,4,2,4,1,0,0,0.0,0.0
1,Active Inference,1,710.0,16732.847132623545,47970.09670208421,4,6,4,6,1,2,0,0.0,0.0
1,Active Inference,1,720.0,0.0,22306.77146336266,0,6,0,6,0,2,2,0.0,12.0
1,Active Inference,1,730.0,2624.722222222222,14756.945890105453,1,4,1,4,0,0,0,0.0,0.0
1,Active Inference,1,740.0,4068.729414226416,9768.761378279378,1,4,1,4,0,0,2,0.0,0.0
1,Active Inference,1,750.0,10001.091666433593,2601.519562750802,2,1,2,1,0,0,0,1.0,0.0
1,Active Inference,1,760.0,32937.94345698938,18274.755755629274,3,3,3,3,0,0,0,0.0,7.0
1,Active Inference,1,770.0,21443.33393171354,21739.25511692679,4,5,4,5,0,0,0,0.0,17.0
1,Active Inference,1,780.0,0.0,29271.518186830795,1,6,1,6,0,1,2,0.0,39.0
1,Active Inference,1,790.0,21120.600537469632,12137.630084230988,2,3,2,3,1,1,0,6.0,0.0
1,Active Inference,1,800.0,18485.12605430616,11787.04270696761,2,5,2,5,1,1,2,0.0,2.0
1,Active Inference,1,810.0,7595.003722172028,30498.46255438411,2,5,2,5,1,0,0,1.0,0.0
1,Active Inference,1,820.0,14307.758519298874,30913.975885955926,2,6,2,6,0,1,2,0.0,3.0
1,Active Inference,1,830.0,18594.560108111298,22210.859736448936,4,3,4,3,1,1,2,0.0,0.0
1,Active Inference,1,840.0,26712.692549103136,23334.00285514035,4,4,4,4,1,0,0,10.0,0.0
1,Active Inference,1,850.0,2269.2824410576977,5043.1849555271765,1,4,1,4,0,0,2,0.0,1.0
1,Active Inference,1,860.0,0.0,5249.444444444444,1,2,1,2,0,0,0,0.0,0.0
1,Active Inference,1,870.0,5899.804731373963,8676.386974491643,3,4,3,4,0,0,2,0.0,0.0
1,Active Inference,1,880.0,3506.0774794574336,0.0,3,1,3,1,0,0,0,0.0,0.0
1,Active Inference,1,890.0,0.0,69454.09268609775,0,6,0,6,0,2,2,0.0,9.0
1,Active Inference,1,900.0,9286.38566671715,69384.25620300524,1,7,1,7,0,2,0,0.0,0.0
1,Active Inference,1,910.0,3144.444900537716,26754.01344670977,1,9,1,9,0,2,2,0.0,23.0
1,Active Inference,1,920.0,19309.84830215553,5859.47788314761,3,2,3,2,1,0,2,9.0,0.0
1,Active Inference,1,930.0,20910.184776279646,15483.005432406793,5,3,5,3,1,1,0,19.0,0.0
1,Active Inference,1,940.0,28231.802733364384,27131.117704665652,2,6,2,6,1,2,0,0.0,0.0
1,Active Inference,1,950.0,13846.141014936095,15668.550291836804,2,8,2,7,1,2,2,0.0,16.0
1,Active Inference,1,960.0,12499.353520027871,25933.871532004086,3,5,3,5,2,1,0,6.0,0.0
1,Active Inference,1,970.0,39226.23749043048,32851.837198751484,3,5,3,5,1,1,2,0.0,0.0
1,Active Inference,1,980.0,7697.465800508786,38863.28038749221,4,6,4,5,1,2,0,0.0,0.0
1,Active Inference,1,990.0,1592.5433559082458,34108.74833416207,1,8,1,8,0,2,2,0.0,9.0
1,Active Inference,1,1000.0,36859.61051325086,55959.44178230678,4,7,4,6,2,3,2,8.0,0.0
1,Active Inference,1,1010.0,34942.76009472355,64185.734834852236,6,6,5,6,2,2,0,18.0,0.0
1,Active Inference,1,1020.0,26961.907609636233,50903.55245614314,4,11,4,10,1,3,2,0.0,8.0
1,Active Inference,1,1030.0,37765.941921206104,46402.781703792294,5,6,5,6,1,1,0,26.0,0.0
1,Active Inference,1,1040.0,60392.979656204625,58636.40261372432,6,11,6,11,1,2,0,0.0,8.0
1,Active Inference,1,1050.0,56720.494353034446,59566.626498190235,6,15,5,12,1,2,2,0.0,59.0
1,Active Inference,1,1060.0,17500.778827508926,23505.82445744968,6,7,6,6,1,1,2,21.0,0.0
