scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
4,Active Inference,1,72676.000,29309792.508,80.2867,286,364
4,Active Inference,2,73249.000,29539212.404,80.5556,270,364
4,Active Inference,3,27578.000,28445603.019,82.8571,272,363
4,Active Inference,4,40444.000,28554692.790,83.2168,265,364
4,Active Inference,5,73974.000,29958722.592,82.1678,271,364
4,Active Inference,6,80766.000,30107304.391,83.1579,272,363
4,Active Inference,7,24651.000,28555719.759,82.8671,276,364
4,Active Inference,8,46569.000,29020969.994,81.0345,278,364
4,Active Inference,9,71066.000,29772502.684,81.8182,290,364
4,Active Inference,10,69052.000,29714439.733,81.5972,283,363
4,Active Inference,11,67484.000,29628019.110,81.0526,276,363
4,Active Inference,12,28779.000,28271670.868,82.6389,272,365
4,Active Inference,13,71188.000,30259683.187,82.9787,278,363
4,Active Inference,14,33554.000,27783169.312,82.3529,277,363
4,Active Inference,15,35082.000,28657006.884,84.1924,284,363
4,Active Inference,16,69394.000,30570737.787,81.6901,271,363
4,Active Inference,17,65657.000,29324407.532,82.8671,288,363
4,Active Inference,18,32672.000,28367905.401,81.7544,275,364
4,Active Inference,19,78312.000,29833374.753,81.5331,272,363
4,Active Inference,20,28428.000,28073388.562,81.4433,282,364
4,Active Inference,21,23395.000,27536676.805,81.8182,282,363
4,Active Inference,22,23394.000,28612932.612,80.5654,276,364
4,Active Inference,23,64757.000,29588567.522,83.6879,273,363
4,Active Inference,24,41069.000,27827956.683,81.9444,273,363
4,Active Inference,25,67520.000,29356039.382,79.3706,290,363
4,Active Inference,26,75426.000,29596384.376,84.0830,281,363
4,Active Inference,27,72176.000,29689001.504,80.5556,277,364
4,Active Inference,28,80510.000,30108612.945,83.3922,279,363
4,Active Inference,29,67950.000,29776670.125,82.1918,290,363
4,Active Inference,30,70415.000,30006026.159,83.1579,282,363
4,Active Inference,31,30178.000,28463574.844,81.7568,270,363
4,Active Inference,32,92634.000,30475709.489,84.6690,264,363
4,Active Inference,33,77978.000,30017749.218,80.9028,274,363
4,Active Inference,34,67830.000,29797334.343,80.7560,280,363
4,Active Inference,35,43184.000,28953407.383,80.9859,280,364
4,Active Inference,36,31641.000,27496402.285,80.9859,284,363
4,Active Inference,37,34066.000,27874521.589,84.5614,287,363
4,Active Inference,38,67036.000,29291064.934,80.6338,271,363
4,Active Inference,39,73472.000,29716614.645,82.1053,272,364
4,Active Inference,40,68325.000,29731949.160,85.2632,283,364
4,Active Inference,41,26221.000,28348993.436,80.3448,274,364
4,Active Inference,42,88254.000,30144617.764,81.3380,274,365
4,Active Inference,43,29160.000,28292951.444,82.3322,284,363
4,Active Inference,44,30362.000,27869687.478,82.9268,289,363
4,Active Inference,45,40803.000,28361194.496,81.3793,276,364
4,Active Inference,46,72527.000,29458569.007,81.8182,270,365
4,Active Inference,47,70891.000,29441848.131,81.6609,278,363
4,Active Inference,48,67389.000,29543427.486,82.8070,280,363
4,Active Inference,49,78334.000,31553520.445,82.2300,292,363
4,Active Inference,50,29369.000,27485465.337,79.2388,280,363
4,Active Inference,51,67458.000,30117725.678,83.1615,284,364
4,Active Inference,52,31934.000,28753183.600,82.9861,277,363
4,Active Inference,53,72221.000,29900288.074,83.2168,281,363
4,Active Inference,54,26943.000,27869498.889,81.9444,276,363
4,Active Inference,55,76076.000,29800485.351,82.5623,283,363
4,Active Inference,56,75460.000,29097627.687,83.0389,278,363
4,Active Inference,57,65494.000,29174319.453,80.9187,278,363
4,Active Inference,58,94176.000,30186970.817,81.7241,272,363
4,Active Inference,59,75452.000,28904974.266,83.0450,281,363
4,Active Inference,60,38057.000,28009697.468,79.9308,280,365
4,Active Inference,61,31282.000,27518534.629,80.5556,267,363
4,Active Inference,62,75731.000,30078447.297,81.1847,272,363
4,Active Inference,63,67102.000,30031869.783,82.3529,268,363
4,Active Inference,64,67637.000,28772858.625,81.9788,271,363
4,Active Inference,65,70391.000,30030526.344,82.3322,289,364
4,Active Inference,66,68983.000,29408126.533,80.1394,283,363
4,Active Inference,67,69150.000,29324937.974,82.4561,299,363
4,Active Inference,68,67130.000,30142021.399,80.3509,276,363
4,Active Inference,69,87416.000,30564802.237,81.5068,274,363
4,Active Inference,70,70863.000,30123219.728,82.0423,275,363
4,Active Inference,71,19752.000,27311675.140,84.0989,278,363
4,Active Inference,72,38348.000,27802860.021,82.4561,282,363
4,Active Inference,73,29823.000,28366863.379,83.0450,278,363
4,Active Inference,74,73362.000,29666098.199,81.5331,270,363
4,Active Inference,75,34227.000,27348913.208,83.4483,277,363
4,Active Inference,76,67830.000,29322064.001,83.2168,281,364
4,Active Inference,77,34337.000,28602089.050,82.9268,276,363
4,Active Inference,78,67245.000,29752215.718,82.7465,276,363
4,Active Inference,79,37337.000,28883719.850,80.8874,275,363
4,Active Inference,80,28676.000,27539587.512,80.4878,262,363
4,Active Inference,81,20482.000,27902881.229,80.1370,279,363
4,Active Inference,82,62511.000,28921169.580,81.2500,288,363
4,Active Inference,83,68582.000,29133130.731,79.6429,279,363
4,Active Inference,84,85895.000,30280362.991,81.5700,274,363
4,Active Inference,85,80902.000,29957208.837,84.2105,283,363
4,Active Inference,86,71625.000,30103981.625,81.2721,284,363
4,Active Inference,87,71858.000,29634503.790,84.5070,274,363
4,Active Inference,88,66612.000,29799912.587,82.1306,282,364
4,Active Inference,89,73352.000,29479103.074,81.6609,284,363
4,Active Inference,90,23088.000,27583375.334,82.8671,267,363
4,Active Inference,91,40141.000,28097546.942,80.5556,277,363
4,Active Inference,92,69912.000,29574200.131,82.7586,279,363
4,Active Inference,93,65150.000,29201256.472,84.3416,291,363
4,Active Inference,94,66840.000,29083351.329,82.8179,270,363
4,Active Inference,95,24747.000,27783827.990,81.9444,268,364
4,Active Inference,96,92243.000,31151322.587,82.5784,289,363
4,Active Inference,97,25532.000,27609725.868,82.5784,273,363
4,Active Inference,98,36310.000,27761056.622,83.3922,288,364
4,Active Inference,99,82066.000,28991484.449,77.9310,288,363
4,Active Inference,100,43153.000,28904635.876,79.9308,268,363
