scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
2,Active Inference,1,7798.000,26652859.340,77.3519,272,363
2,Active Inference,2,8114.000,26259481.434,77.9720,256,363
2,Active Inference,3,8142.000,25896766.732,78.3217,266,363
2,Active Inference,4,7895.000,26380694.184,80.4196,259,363
2,Active Inference,5,6910.000,26246979.161,82.5623,272,365
2,Active Inference,6,8481.000,26153942.405,83.6237,262,363
2,Active Inference,7,8267.000,26309639.594,80.8511,262,363
2,Active Inference,8,7255.000,26208425.253,77.5087,272,363
2,Active Inference,9,6491.000,25681887.983,81.1847,280,363
2,Active Inference,10,6807.000,25810717.718,79.9296,273,363
2,Active Inference,11,8068.000,26314396.844,79.7203,266,363
2,Active Inference,12,6735.000,25790041.612,81.9444,272,364
2,Active Inference,13,7638.000,26311372.634,82.2695,264,363
2,Active Inference,14,6767.000,26103466.035,80.2817,273,364
2,Active Inference,15,6434.000,25690533.590,80.9187,274,363
2,Active Inference,16,6975.000,26161236.655,79.5775,271,364
2,Active Inference,17,6547.000,25858657.865,80.4878,282,363
2,Active Inference,18,6212.000,25630645.934,81.1189,267,363
2,Active Inference,19,7431.000,26195708.745,79.1519,270,363
2,Active Inference,20,7671.000,26154654.392,79.2388,262,363
2,Active Inference,21,6963.000,25852347.575,79.2388,278,363
2,Active Inference,22,7607.000,26201352.466,80.4196,260,363
2,Active Inference,23,6428.000,25725305.380,79.7203,267,363
2,Active Inference,24,6919.000,25781584.718,82.1678,263,363
2,Active Inference,25,7388.000,26173787.096,79.5139,268,363
2,Active Inference,26,7250.000,25821550.450,82.8671,265,364
2,Active Inference,27,7636.000,26195849.809,81.8815,269,363
2,Active Inference,28,7761.000,26115562.847,81.6254,265,364
2,Active Inference,29,7848.000,26002357.099,80.1394,262,363
2,Active Inference,30,6708.000,25660840.738,80.5556,272,363
2,Active Inference,31,7634.000,26290564.044,79.6610,274,363
2,Active Inference,32,6881.000,25722828.089,79.9296,274,363
2,Active Inference,33,7153.000,25904866.678,78.6713,262,363
2,Active Inference,34,7067.000,25659566.413,82.0069,268,363
2,Active Inference,35,6905.000,25857524.685,83.1579,278,364
2,Active Inference,36,6827.000,25621679.078,79.2982,268,363
2,Active Inference,37,6555.000,25828745.806,82.6990,277,363
2,Active Inference,38,7628.000,26070887.331,79.5848,273,363
2,Active Inference,39,7323.000,26282477.561,81.7544,264,364
2,Active Inference,40,6992.000,25819269.675,82.0423,269,363
2,Active Inference,41,7684.000,26377574.937,79.2388,266,364
2,Active Inference,42,7983.000,26785932.299,80.6338,272,364
2,Active Inference,43,6802.000,25992118.864,79.7872,276,363
2,Active Inference,44,6600.000,25808124.666,79.7945,277,363
2,Active Inference,45,8023.000,25635743.654,81.4433,254,363
2,Active Inference,46,7959.000,26001952.882,80.1394,266,365
2,Active Inference,47,7077.000,25825419.284,80.1370,266,363
2,Active Inference,48,7004.000,25927459.377,81.8815,262,363
2,Active Inference,49,8748.000,26820188.645,80.9187,270,363
2,Active Inference,50,7207.000,25909224.525,78.5467,270,363
2,Active Inference,51,7526.000,25971285.336,79.2388,265,365
2,Active Inference,52,7753.000,26624706.338,81.1847,271,363
2,Active Inference,53,7892.000,26611009.939,79.1667,263,363
2,Active Inference,54,7361.000,26005331.230,81.7857,270,363
2,Active Inference,55,8103.000,26107507.812,81.6901,259,364
2,Active Inference,56,7474.000,25537173.992,82.7957,266,363
2,Active Inference,57,6979.000,26145391.907,81.4685,266,363
2,Active Inference,58,7623.000,26112069.742,78.5714,266,363
2,Active Inference,59,7915.000,26563966.252,80.9689,269,364
2,Active Inference,60,7451.000,25967421.723,78.0488,266,365
2,Active Inference,61,7345.000,25975149.788,80.9859,267,363
2,Active Inference,62,7083.000,25791488.882,80.6897,268,363
2,Active Inference,63,7550.000,26633469.084,80.3448,268,363
2,Active Inference,64,7582.000,25908401.898,79.6491,253,363
2,Active Inference,65,6898.000,26062071.013,80.7018,275,364
2,Active Inference,66,6947.000,25769055.201,82.3322,273,363
2,Active Inference,67,6622.000,25878928.779,82.0789,275,363
2,Active Inference,68,7988.000,26609339.301,79.6491,268,364
2,Active Inference,69,7040.000,26067084.816,80.7692,266,363
2,Active Inference,70,7742.000,26118279.735,81.5331,265,363
2,Active Inference,71,7156.000,25750421.902,80.9028,278,363
2,Active Inference,72,7401.000,26493958.797,80.2817,258,363
2,Active Inference,73,7486.000,26015727.708,81.2721,262,363
2,Active Inference,74,7475.000,26125910.859,79.4521,268,363
2,Active Inference,75,7331.000,25979121.196,81.4433,263,363
2,Active Inference,76,6561.000,25458710.554,81.6901,261,363
2,Active Inference,77,7749.000,26334024.146,80.2083,278,364
2,Active Inference,78,7561.000,26668174.669,82.2300,264,363
2,Active Inference,79,8300.000,26582739.213,81.5972,259,363
2,Active Inference,80,7299.000,25882120.936,81.1189,262,364
2,Active Inference,81,6612.000,25921584.709,80.3509,273,363
2,Active Inference,82,7328.000,26076830.377,82.8671,258,363
2,Active Inference,83,7081.000,25499587.764,77.3852,273,363
2,Active Inference,84,7400.000,26149840.820,79.9308,264,363
2,Active Inference,85,7380.000,26008302.892,83.1541,271,363
2,Active Inference,86,8014.000,25993394.501,77.1127,264,363
2,Active Inference,87,8019.000,25826072.266,83.0450,264,364
2,Active Inference,88,6615.000,25888572.790,79.2388,266,363
2,Active Inference,89,7473.000,25609092.272,81.5972,262,363
2,Active Inference,90,8029.000,25833423.267,81.4947,263,363
2,Active Inference,91,7119.000,26044667.045,79.8611,269,364
2,Active Inference,92,6600.000,25967291.280,80.6338,265,363
2,Active Inference,93,7513.000,26178535.911,82.3944,269,363
2,Active Inference,94,5775.000,25309863.740,77.2414,280,364
2,Active Inference,95,7008.000,26001516.151,82.9268,270,364
2,Active Inference,96,7959.000,26907461.259,80.6338,267,363
2,Active Inference,97,7240.000,25685794.291,81.7241,271,363
2,Active Inference,98,6572.000,25643048.680,81.4685,270,364
2,Active Inference,99,8026.000,26118016.239,78.2313,270,364
