scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
4,Active Inference,1,540.0,0.0,10572.222222222223,0,2,0,2,0,2,2,0.0,0.0
4,Active Inference,1,550.0,10288.577975915541,79945.57883664581,1,6,1,6,0,2,2,0.0,0.0
4,Active Inference,1,560.0,2791.776820520177,32268.629473973175,1,6,1,4,0,2,2,0.0,0.0
4,Active Inference,1,570.0,2624.690041338856,0.0,1,0,1,0,0,0,0,6.0,0.0
4,Active Inference,1,580.0,25276.23425575725,0.0,3,0,3,0,1,0,2,0.0,0.0
4,Active Inference,1,590.0,7611.870005477074,16105.601492550526,4,4,4,4,1,0,0,0.0,0.0
4,Active Inference,1,600.0,1402.3951108820115,0.0,1,4,1,3,0,0,2,0.0,0.0
4,Active Inference,1,610.0,2624.722222222222,0.0,1,0,1,0,0,0,0,9.0,0.0
4,Active Inference,1,620.0,24747.783924318952,38645.272134426275,1,4,1,4,1,2,2,0.0,0.0
4,Active Inference,1,630.0,11107.35275866163,47624.86128721824,2,6,2,6,1,3,0,0.0,0.0
4,Active Inference,1,640.0,5249.444444444444,19790.554955564316,3,6,3,6,0,3,2,0.0,12.0
4,Active Inference,1,650.0,4640.368247865575,17687.05098332322,3,3,3,2,0,0,0,7.0,0.0
4,Active Inference,1,660.0,23238.290356762485,24332.515761117324,2,5,2,3,0,0,2,0.0,0.0
4,Active Inference,1,670.0,18082.689560641567,21638.20411294652,2,3,2,2,0,1,0,0.0,0.0
4,Active Inference,1,680.0,13078.422339139266,17342.43758370584,1,5,1,5,1,1,2,0.0,3.0
4,Active Inference,1,690.0,15446.172386305443,0.0,1,0,1,0,1,0,0,0.0,0.0
4,Active Inference,1,700.0,28623.95735343425,21019.143341261763,2,4,2,4,1,0,2,0.0,0.0
4,Active Inference,1,710.0,10014.705825267452,47245.158304853816,4,6,2,5,1,2,0,0.0,0.0
4,Active Inference,1,720.0,0.0,39032.94621520974,0,6,0,5,0,2,2,0.0,12.0
4,Active Inference,1,730.0,2624.722222222222,14312.41517682801,1,4,1,4,0,0,2,0.0,0.0
4,Active Inference,1,740.0,0.0,8991.669282551002,1,4,1,4,0,0,0,0.0,0.0
4,Active Inference,1,750.0,7380.555555555556,5229.101244049811,1,4,1,4,0,0,2,0.0,3.0
4,Active Inference,1,760.0,33917.49040918487,16504.373167445636,3,2,0,2,0,0,0,0.0,0.0
4,Active Inference,1,770.0,28083.06755761533,14740.04710364303,4,4,3,4,0,0,2,0.0,0.0
4,Active Inference,1,780.0,12442.144965515308,22799.7843038845,4,3,3,2,0,1,0,6.0,0.0
4,Active Inference,1,790.0,16846.79687090694,20751.57563422316,1,5,1,4,1,1,2,0.0,13.0
4,Active Inference,1,800.0,13390.981481194394,8609.278115957633,2,2,2,2,1,0,0,0.0,0.0
4,Active Inference,1,810.0,2870.163010380073,34972.681716342864,1,5,1,4,0,0,2,0.0,0.0
4,Active Inference,1,820.0,15085.96607508232,34242.974772367714,3,4,3,3,0,1,0,2.0,0.0
4,Active Inference,1,830.0,18019.64215405456,32599.56135656339,4,6,4,6,1,1,2,0.0,4.0
4,Active Inference,1,840.0,18258.43533747305,25335.89557289352,4,4,2,4,1,0,0,10.0,0.0
4,Active Inference,1,850.0,5022.771973834342,2618.0052433700334,1,4,1,4,0,0,2,0.0,1.0
4,Active Inference,1,860.0,0.0,5249.444444444444,1,2,1,2,0,0,0,0.0,0.0
4,Active Inference,1,870.0,7989.594881508112,12437.606072899236,3,4,3,4,0,0,2,0.0,0.0
4,Active Inference,1,880.0,3366.2228616473944,0.0,3,0,3,0,0,0,0,0.0,0.0
4,Active Inference,1,890.0,0.0,64869.51703547817,0,5,0,5,0,2,2,0.0,0.0
4,Active Inference,1,900.0,5626.603220797245,72641.88223494645,1,7,1,7,0,2,2,0.0,0.0
4,Active Inference,1,910.0,0.0,20265.087858552622,1,5,1,5,0,1,2,0.0,0.0
4,Active Inference,1,920.0,16713.247059529673,0.0,3,2,3,2,1,0,0,6.0,0.0
4,Active Inference,1,930.0,11454.969623529105,31876.202464254617,4,5,4,5,1,1,0,0.0,0.0
4,Active Inference,1,940.0,30757.839017418897,61021.65552475427,3,8,3,4,1,2,2,0.0,20.0
4,Active Inference,1,950.0,17065.5539781742,5249.444444444444,4,4,1,3,1,1,0,17.0,0.0
4,Active Inference,1,960.0,10596.003458556748,35097.08730173417,2,7,2,5,1,2,2,0.0,15.0
4,Active Inference,1,970.0,49011.14098060449,33234.93814382827,4,3,3,1,1,1,2,0.0,0.0
4,Active Inference,1,980.0,14083.20772689054,33510.80818451796,5,6,5,6,1,2,0,9.0,0.0
4,Active Inference,1,990.0,5442.163242226972,41470.99037682603,1,8,1,7,0,2,2,0.0,7.0
4,Active Inference,1,1000.0,32936.22479342863,53685.11755539714,4,7,3,7,2,3,2,8.0,0.0
4,Active Inference,1,1010.0,56149.81375624313,61312.86955211147,6,6,5,2,2,2,0,18.0,0.0
4,Active Inference,1,1020.0,10652.088054425321,55041.53224644638,4,11,4,6,1,3,0,0.0,6.0
4,Active Inference,1,1030.0,22139.674967100735,53837.46662423928,2,12,2,8,0,3,2,0.0,54.0
4,Active Inference,1,1040.0,52348.83493389569,67628.07231488577,7,7,7,7,1,1,2,6.0,0.0
4,Active Inference,1,1050.0,59009.72869159475,34609.49843390727,8,9,6,7,1,1,0,17.0,0.0
4,Active Inference,1,1060.0,17062.98244376115,40446.95017093053,2,12,2,10,1,2,2,0.0,29.0
4,Active Inference,1,1070.0,34912.67342824046,84567.87685329124,6,7,5,7,2,2,0,9.0,0.0
4,Active Inference,1,1080.0,21668.135274127417,44055.33429880924,3,10,1,9,1,2,2,0.0,2.0
4,Active Inference,1,1090.0,23563.925936354302,51195.83656938336,5,7,5,7,1,0,2,8.0,0.0
4,Active Inference,1,1100.0,34534.28549682787,79831.20220851926,7,8,6,7,2,0,2,31.0,0.0
4,Active Inference,1,1110.0,55678.37002673293,80934.81101621636,11,10,10,8,2,1,2,75.0,0.0
4,Active Inference,1,1120.0,30738.11364029134,31715.763197695676,12,9,10,8,2,1,0,136.0,0.0
4,Active Inference,1,1130.0,21206.81512910266,62352.25673083272,5,16,5,14,0,1,0,0.0,31.0
4,Active Inference,1,1140.0,21581.29717753391,83167.95023068176,5,21,3,13,0,2,2,0.0,110.0
4,Active Inference,1,1150.0,71822.27778927133,80250.59910820574,9,12,7,9,1,3,0,12.0,0.0
4,Active Inference,1,1160.0,44999.66976073325,59045.757672854365,7,16,7,14,1,3,2,0.0,12.0
4,Active Inference,1,1170.0,15155.189513065972,35688.75421367944,8,10,5,9,1,0,2,12.0,0.0
4,Active Inference,1,1180.0,37497.501930147875,45471.84835081159,11,8,9,8,1,0,0,53.0,0.0
4,Active Inference,1,1190.0,20879.69419883324,47520.41514376107,6,15,6,11,0,1,2,0.0,13.0
4,Active Inference,1,1200.0,51213.04910021076,60966.591239411566,10,11,6,11,1,1,0,14.0,0.0
4,Active Inference,1,1210.0,77882.07508430212,114621.40159323181,8,19,8,14,2,3,2,0.0,14.0
4,Active Inference,1,1220.0,56974.61124082457,96144.16462502908,12,16,7,15,3,3,0,2.0,0.0
4,Active Inference,1,1230.0,79569.29801949732,99727.62089567838,9,22,8,15,1,4,2,0.0,26.0
4,Active Inference,1,1240.0,82365.81576359674,77488.19772230479,12,16,7,14,2,2,0,13.0,0.0
4,Active Inference,1,1250.0,71637.2495389381,76862.71244234529,10,21,7,17,2,2,0,0.0,28.0
4,Active Inference,1,1260.0,57340.675732391945,113682.51679243743,6,29,3,25,1,4,0,0.0,139.0
4,Active Inference,1,1270.0,77391.80293419884,153821.97949227208,10,34,8,30,2,4,2,0.0,334.0
4,Active Inference,1,1280.0,48935.68038443737,136316.07274306912,12,27,8,19,2,3,2,16.0,0.0
4,Active Inference,1,1290.0,87969.48617757887,70931.01593082007,16,17,10,13,2,1,0,77.0,0.0
4,Active Inference,1,1300.0,39434.828098283026,102377.08812294107,9,23,8,16,0,2,2,0.0,61.0
4,Active Inference,1,1310.0,36833.262410989824,110995.95584037132,10,15,8,11,0,2,0,39.0,0.0
4,Active Inference,1,1320.0,18586.27433872908,78205.1656458162,4,21,4,14,0,2,2,0.0,44.0
4,Active Inference,1,1330.0,10042.60492199831,67092.31209467936,5,12,5,9,0,2,0,3.0,0.0
4,Active Inference,1,1340.0,12072.026268616779,62215.90597874766,5,19,5,15,0,2,2,0.0,35.0
4,Active Inference,1,1350.0,17841.38028970053,26057.229022836455,8,11,8,11,0,0,2,3.0,0.0
4,Active Inference,1,1360.0,68218.29366836134,23692.870345243995,12,8,8,8,1,0,2,35.0,0.0
4,Active Inference,1,1370.0,86580.52133627086,25238.932848660428,15,8,9,8,1,0,0,92.0,0.0
4,Active Inference,1,1380.0,18082.825001904523,48606.67950144362,4,11,4,11,0,0,2,0.0,12.0
4,Active Inference,1,1390.0,38942.560632068315,38520.00818719265,8,8,7,6,1,1,2,16.0,0.0
4,Active Inference,1,1400.0,56404.018773221345,52157.4710386368,10,8,8,7,2,1,0,47.0,0.0
4,Active Inference,1,1410.0,42388.065703939814,91424.631880517,7,14,7,7,3,2,0,0.0,13.0
4,Active Inference,1,1420.0,72776.08839236388,73488.05436576088,6,19,6,12,1,3,2,0.0,67.0
4,Active Inference,1,1430.0,59837.2445151208,42873.77465366177,10,9,4,6,1,2,0,16.0,0.0
4,Active Inference,1,1440.0,14654.896407289645,42907.958924770326,5,12,5,11,0,3,0,0.0,21.0
4,Active Inference,1,1450.0,38221.50538052852,60431.633848354926,4,16,4,14,0,3,2,0.0,98.0
4,Active Inference,1,1460.0,14466.952380285007,46570.93576279407,5,8,5,5,0,1,0,0.0,0.0
4,Active Inference,1,1470.0,58216.85615215537,75827.41699629318,6,13,6,9,2,2,0,0.0,22.0
4,Active Inference,1,1480.0,36044.65320403679,61873.19384155252,5,16,5,12,2,3,2,0.0,84.0
4,Active Inference,1,1490.0,32215.395775211102,86701.94940693483,8,10,8,7,3,2,0,9.0,0.0
4,Active Inference,1,1500.0,50211.51292040343,119445.27539798927,5,15,4,4,2,4,0,0.0,20.0
4,Active Inference,1,1510.0,29810.004553190873,98667.22797964598,5,21,4,10,1,5,2,0.0,81.0
4,Active Inference,1,1520.0,42906.14511288728,47998.44208158599,7,11,6,6,1,2,0,18.0,0.0
4,Active Inference,1,1530.0,30344.112557267297,100731.18721537193,5,16,3,11,0,3,2,0.0,31.0
4,Active Inference,1,1540.0,30471.57764567937,62843.634318760574,8,10,7,7,0,1,0,16.0,0.0
4,Active Inference,1,1550.0,40332.29691698412,63280.460625111715,5,13,3,6,1,1,2,0.0,18.0
4,Active Inference,1,1560.0,41319.38085265248,42267.71996020429,6,7,3,2,1,0,0,5.0,0.0
4,Active Inference,1,1570.0,28971.811632146917,68086.41622408594,5,12,5,10,1,0,2,0.0,20.0
4,Active Inference,1,1580.0,13693.214215136095,18412.591559977292,5,7,2,5,1,0,2,7.0,0.0
4,Active Inference,1,1590.0,29542.106493215353,12809.606767262914,8,6,6,5,1,0,2,41.0,0.0
4,Active Inference,1,1600.0,40950.71223831423,39739.060766059585,10,9,6,5,1,1,0,91.0,0.0
4,Active Inference,1,1610.0,27083.490497371065,32869.30386369597,5,11,4,5,0,1,2,0.0,18.0
4,Active Inference,1,1620.0,11999.850805456881,37887.127325010544,5,6,5,3,0,2,0,6.0,0.0
4,Active Inference,1,1630.0,8629.002350393104,48920.35322932518,2,10,2,8,0,2,2,0.0,1.0
4,Active Inference,1,1640.0,20871.781177910365,47822.36815604415,5,7,5,6,0,0,0,7.0,0.0
4,Active Inference,1,1650.0,21274.85433457397,33853.31847910424,4,9,4,6,1,0,2,0.0,16.0
4,Active Inference,1,1660.0,32256.69183110084,42966.85866064705,7,6,7,1,1,1,2,10.0,0.0
4,Active Inference,1,1670.0,20895.38113762191,34406.80082955241,8,8,8,4,1,1,0,34.0,0.0
4,Active Inference,1,1680.0,46200.61248713195,37862.63014862561,5,12,2,11,1,1,2,0.0,21.0
4,Active Inference,1,1690.0,39008.755065334444,73138.28122393106,7,10,3,5,1,1,0,6.0,0.0
4,Active Inference,1,1700.0,35728.086972422796,65279.15736709076,5,13,4,5,0,2,0,0.0,15.0
4,Active Inference,1,1710.0,31584.838948475583,67056.18276505581,4,18,2,12,0,2,2,0.0,69.0
4,Active Inference,1,1720.0,37728.03864070742,62466.26287132078,7,9,4,6,0,0,2,10.0,0.0
4,Active Inference,1,1730.0,23995.405238799554,32520.547303853826,8,8,5,7,0,0,0,44.0,0.0
4,Active Inference,1,1740.0,37547.97580342511,45366.67872523647,5,11,3,7,0,1,2,0.0,20.0
