scenario,controller,seed,cum_idle,cum_co2,bus_pct,switches,n_ticks
3,Active Inference,1,8103.000,26278781.744,80.9859,272,363
3,Active Inference,2,8145.000,26215579.209,79.4425,260,364
3,Active Inference,3,7841.000,26249880.033,79.2254,268,363
3,Active Inference,4,8478.000,26209276.035,81.1189,259,363
3,Active Inference,5,7055.000,25986361.390,78.5965,268,364
3,Active Inference,6,8397.000,26399539.367,82.4561,266,363
3,Active Inference,7,7650.000,26200314.904,78.3217,272,364
3,Active Inference,8,8051.000,26294448.603,78.6207,262,363
3,Active Inference,9,7828.000,26105710.051,80.9028,274,363
3,Active Inference,10,7279.000,26290200.608,80.5556,281,363
3,Active Inference,11,7316.000,26126760.169,80.7018,272,363
3,Active Inference,12,6763.000,25976488.037,82.1053,271,364
3,Active Inference,13,7627.000,26236641.808,82.7465,266,363
3,Active Inference,14,6539.000,26008313.276,81.1847,275,363
3,Active Inference,15,6728.000,25753930.861,83.2168,280,363
3,Active Inference,16,7349.000,26090708.927,80.9859,269,363
3,Active Inference,17,6889.000,25811847.314,81.1189,280,364
3,Active Inference,18,7117.000,26280071.266,79.3706,265,364
3,Active Inference,19,6991.000,26268349.932,81.8182,272,363
3,Active Inference,20,7252.000,26271861.809,80.2768,280,363
3,Active Inference,21,7355.000,26118983.600,80.2817,274,363
3,Active Inference,22,7576.000,26423258.321,78.5211,268,364
3,Active Inference,23,7439.000,26171952.482,82.1053,265,363
3,Active Inference,24,6356.000,25917096.374,80.2817,273,363
3,Active Inference,25,7068.000,26082049.289,76.2069,272,363
3,Active Inference,26,7122.000,25943210.446,81.7544,271,363
3,Active Inference,27,7825.000,26106228.528,80.6228,265,363
3,Active Inference,28,6225.000,25449426.426,81.3620,277,363
3,Active Inference,29,6724.000,25677116.767,80.2083,274,363
3,Active Inference,30,6404.000,25613832.745,81.8505,280,363
3,Active Inference,31,7707.000,26146310.606,80.7560,266,363
3,Active Inference,32,6800.000,25672794.207,81.8182,268,363
3,Active Inference,33,7202.000,26266083.494,80.1394,264,363
3,Active Inference,34,7432.000,26028653.098,80.0000,274,364
3,Active Inference,35,7470.000,26064942.884,80.2817,268,363
3,Active Inference,36,7471.000,25944676.086,79.7203,270,363
3,Active Inference,37,6234.000,25739877.137,82.1053,281,363
3,Active Inference,38,7692.000,25834963.857,79.7203,267,363
3,Active Inference,39,6656.000,25877180.607,79.6491,272,364
3,Active Inference,40,8539.000,26850698.338,82.4561,267,363
3,Active Inference,41,7590.000,26547412.598,79.8611,258,363
3,Active Inference,42,7450.000,26431100.391,80.2817,276,365
3,Active Inference,43,7559.000,26201892.844,82.0423,262,364
3,Active Inference,44,6954.000,26014144.549,81.2057,271,363
3,Active Inference,45,7181.000,26001441.512,78.8194,262,364
3,Active Inference,46,8204.000,26317179.921,80.2083,261,364
3,Active Inference,47,6852.000,26066137.936,81.0345,270,364
3,Active Inference,48,6829.000,25904272.738,80.3509,270,363
3,Active Inference,49,8051.000,27077988.583,80.9028,276,363
3,Active Inference,50,7464.000,25992973.034,78.1250,274,364
3,Active Inference,51,6884.000,26068491.197,81.4685,278,364
3,Active Inference,52,8289.000,26485639.457,80.0699,259,363
3,Active Inference,53,7695.000,26443945.198,79.5848,267,363
3,Active Inference,54,7061.000,25914440.919,80.2817,266,363
3,Active Inference,55,6993.000,25614471.501,79.7872,275,364
3,Active Inference,56,7400.000,25924705.526,80.9187,276,363
3,Active Inference,57,7129.000,26204784.616,80.7018,276,364
3,Active Inference,58,7036.000,25509571.563,78.3505,268,363
3,Active Inference,59,7597.000,26042241.360,81.8493,267,363
3,Active Inference,60,7347.000,26064845.805,80.3509,273,364
3,Active Inference,61,7199.000,25822742.444,80.3509,269,363
3,Active Inference,62,7231.000,26113299.314,80.8362,270,363
3,Active Inference,63,7268.000,26220871.543,81.7544,256,363
3,Active Inference,64,7132.000,25374972.418,79.2254,265,363
3,Active Inference,65,6348.000,25986878.226,78.5965,287,363
3,Active Inference,66,5940.000,25309637.814,81.3380,281,364
3,Active Inference,67,6239.000,25404921.366,81.2057,279,364
3,Active Inference,68,6110.000,25897038.612,79.4326,284,363
3,Active Inference,69,7514.000,26321993.585,80.5654,262,363
3,Active Inference,70,7962.000,26095907.329,81.9788,261,363
3,Active Inference,71,7062.000,25924794.946,80.1418,272,363
3,Active Inference,72,7138.000,26004994.521,81.2721,274,364
3,Active Inference,73,7363.000,26192708.529,82.3529,276,363
3,Active Inference,74,8189.000,25966875.762,79.8611,268,363
3,Active Inference,75,7126.000,26064974.983,81.1847,271,363
3,Active Inference,76,7037.000,26069404.493,82.7465,265,363
3,Active Inference,77,8624.000,26476968.058,77.4306,268,363
3,Active Inference,78,7017.000,26129248.394,81.1189,270,363
3,Active Inference,79,7552.000,26590809.090,81.4433,265,363
3,Active Inference,80,7512.000,26217509.837,79.3706,268,363
3,Active Inference,81,7933.000,26530114.288,76.6323,271,363
3,Active Inference,82,7267.000,26162628.412,81.0526,274,364
3,Active Inference,83,6504.000,25674605.549,76.5957,277,363
3,Active Inference,84,7734.000,26216859.197,78.9655,268,363
3,Active Inference,85,6902.000,25792185.143,81.9788,267,363
3,Active Inference,86,6160.000,25726323.460,78.1690,280,363
3,Active Inference,87,8284.000,26170984.115,82.4561,262,363
3,Active Inference,88,7747.000,26181897.239,81.1847,264,363
3,Active Inference,89,6929.000,25467402.661,81.3793,272,363
3,Active Inference,90,7130.000,26096430.589,80.6452,269,363
3,Active Inference,91,8114.000,26204797.944,81.6254,269,363
3,Active Inference,92,7456.000,26676518.016,83.1579,269,363
3,Active Inference,93,6725.000,25576498.948,81.1847,277,363
3,Active Inference,94,6707.000,25771147.503,79.1667,268,363
3,Active Inference,95,7749.000,26230427.538,79.2388,269,365
3,Active Inference,96,7402.000,26493634.211,79.6491,273,364
3,Active Inference,97,8245.000,26262780.173,82.7465,255,363
3,Active Inference,98,6205.000,25541377.118,82.5175,280,364
3,Active Inference,99,6282.000,25594231.699,79.3814,276,363
3,Active Inference,100,7365.000,25902282.961,81.3793,262,363
